Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-10-22 10:57:59,2019-10-22 10:58:11,12.398s,INCOMPLETE
,,,,,,,
Test Cases/APIChainingDemo,,,,2019-10-22 10:58:00,2019-10-22 10:58:07,7.626s,PASSED
"response1 = sendRequest(findTestObject(""RESTWebServices/ListUsers""))",,,,2019-10-22 10:58:01,2019-10-22 10:58:06,5.130s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-10-22 10:58:06,2019-10-22 10:58:06,0.025s,PASSED
result = slurper.parseText(response1.getResponseBodyContent()),,,,2019-10-22 10:58:06,2019-10-22 10:58:06,0.034s,PASSED
value = first_name,,,,2019-10-22 10:58:06,2019-10-22 10:58:06,0.010s,PASSED
"println(""..value extracted is "" + value)",,,,2019-10-22 10:58:06,2019-10-22 10:58:06,0.005s,PASSED
"println(""...Global variable is :"" + UserName)",,,,2019-10-22 10:58:06,2019-10-22 10:58:06,0.202s,PASSED
"sendRequest(findTestObject(""RESTWebServices/UpdateUser"", [""UserName"":value]))",,,,2019-10-22 10:58:06,2019-10-22 10:58:07,1.269s,PASSED
,,,,,,,
Test Cases/SampleTestOne,,,,2019-10-22 10:58:07,2019-10-22 10:58:11,3.879s,PASSED
"sendRequestAndVerify(findTestObject(""RESTWebServices/ListUsers""))",,,,2019-10-22 10:58:08,2019-10-22 10:58:09,1.624s,PASSED
"sendRequestAndVerify(findTestObject(""RESTWebServices/CreateUser""))",,,,2019-10-22 10:58:09,2019-10-22 10:58:11,1.811s,PASSED
